fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,4,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474860,90194935
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474860,90194936
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474860,90194937
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474861,90194938
0,5,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474861,90194939
0,4,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474861,90194940
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474861,90194941
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474862,90194942
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474862,90194943
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474862,90194944
0,2,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474863,90194945
0,3,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474863,90194946
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474863,90194947
0,3,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474864,90194948
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474864,90194949
0,3,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474864,90194950
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474864,90194951
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474865,90194952
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474865,90194953
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474865,90194954
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474865,90194955
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474866,90194956
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474866,90194957
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474866,90194958
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474866,90194959
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474867,90194960
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474867,90194961
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474867,90194962
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474867,90194963
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474868,90194964
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474868,90194965
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474868,90194966
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474868,90194967
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474869,90194968
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474869,90194969
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474869,90194970
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474869,90194971
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474870,90194972
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474870,90194973
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474870,90194974
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474870,90194975
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474871,90194976
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474871,90194977
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474871,90194978
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474871,90194979
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474872,90194980
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474872,90194981
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474872,90194982
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474872,90194983
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474873,90194984
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474873,90194985
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474873,90194986
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474873,90194987
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474874,90194988
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474874,90194989
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474874,90194990
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474874,90194991
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474875,90194992
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474875,90194993
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474875,90194994
1,2,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474876,90194995
1,2,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474876,90194996
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474876,90194997
0,1,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474877,90194998
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474877,90194999
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474877,90195000
1,2,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474877,90195001
0,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474878,90195002
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474878,90195003
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474878,90195004
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474878,90195005
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474879,90195006
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474879,90195007
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474879,90195008
0,4,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474879,90195009
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474880,90195010
0,5,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474880,90195011
0,4,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474880,90195012
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474880,90195013
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474881,90195014
0,2,4,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474881,90195015
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474881,90195016
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474882,90195017
0,3,14,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474882,90195018
0,3,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474882,90195019
0,3,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474892,90195043
0,3,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474892,90195044
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474892,90195045
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474892,90195046
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474893,90195047
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474893,90195048
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474893,90195049
0,3,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474894,90195050
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474894,90195051
0,2,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474894,90195052
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474907,90195083
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474907,90195084
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474907,90195085
0,3,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474908,90195086
0,3,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474908,90195087
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474908,90195088
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474908,90195089
0,3,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474909,90195090
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474909,90195091
0,2,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474909,90195092
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474909,90195093
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474910,90195094
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474910,90195095
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474910,90195096
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474910,90195097
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474911,90195098
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474911,90195099
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474911,90195100
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474911,90195101
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474912,90195102
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474912,90195103
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474912,90195104
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474913,90195105
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474913,90195106
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474913,90195107
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474913,90195108
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474914,90195109
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474914,90195110
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474914,90195111
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474914,90195112
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474915,90195113
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474915,90195114
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474915,90195115
0,4,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474915,90195116
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474916,90195117
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474916,90195118
0,1,4,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474916,90195119
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474917,90195120
0,3,14,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474917,90195121
0,3,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474917,90195122
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474917,90195123
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474918,90195124
0,5,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474918,90195125
0,4,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474918,90195126
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474918,90195127
1,2,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474919,90195128
1,2,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474919,90195129
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474919,90195130
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474919,90195131
0,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474920,90195132
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474920,90195133
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474920,90195134
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474920,90195135
0,1,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474921,90195136
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474921,90195137
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474921,90195138
1,2,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474921,90195139
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474922,90195140
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474922,90195141
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474922,90195142
