soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,200,200,200,Moist,188409994,116913227
0,0,0,91,122,152,Moist,188409995,116913228
91,122,152,107,152,183,Wet,188409995,116913229
107,152,183,200,200,200,Moist,188409995,116913230
0,0,0,91,122,152,Moist,188409996,116913231
91,122,152,107,152,183,Wet,188409996,116913232
107,152,183,200,200,200,Moist,188409996,116913233
0,0,0,200,200,200,Moist,188409997,116913234
30,46,61,200,200,200,Moist,188410010,116913256
0,0,0,30,46,61,Dry,188410010,116913257
30,46,61,200,200,200,Moist,188410011,116913258
0,0,0,30,46,61,Dry,188410011,116913259
0,0,0,200,200,200,Moist,188410012,116913260
0,0,0,15,22,30,Moist,188410013,116913261
15,22,30,71,107,178,Wet,188410013,116913262
71,107,178,200,200,200,Moist,188410013,116913263
15,22,30,71,107,178,Wet,188410014,116913264
71,107,178,200,200,200,Moist,188410014,116913265
0,0,0,15,22,30,Moist,188410014,116913266
0,0,0,15,22,30,Moist,188410015,116913267
15,22,30,71,107,178,Wet,188410015,116913268
71,107,178,200,200,200,Moist,188410015,116913269
15,22,30,71,107,178,Wet,188410016,116913270
71,107,178,200,200,200,Moist,188410016,116913271
0,0,0,15,22,30,Moist,188410016,116913272
0,0,0,200,200,200,Moist,188410017,116913273
0,0,0,15,22,30,Moist,188410018,116913274
15,22,30,71,107,178,Wet,188410018,116913275
71,107,178,200,200,200,Moist,188410018,116913276
0,0,0,15,22,30,Moist,188410019,116913277
15,22,30,71,107,178,Wet,188410019,116913278
71,107,178,200,200,200,Moist,188410019,116913279
0,0,0,15,22,30,Moist,188410020,116913280
15,22,30,71,107,178,Wet,188410020,116913281
71,107,178,200,200,200,Moist,188410020,116913282
0,0,0,200,200,200,Moist,188410021,116913283
0,0,0,30,46,61,Moist,188410022,116913284
76,107,127,200,200,200,Moist,188410022,116913285
30,46,61,76,107,127,Wet,188410022,116913286
0,0,0,46,61,76,Dry,188410023,116913287
46,61,76,200,200,200,Moist,188410023,116913288
0,0,0,200,200,200,Moist,188410024,116913289
0,0,0,30,46,61,Moist,188410025,116913290
30,46,61,76,107,127,Wet,188410025,116913291
76,107,127,200,200,200,Moist,188410025,116913292
0,0,0,30,46,61,Moist,188410026,116913293
30,46,61,76,107,127,Wet,188410026,116913294
76,107,127,200,200,200,Moist,188410026,116913295
0,0,0,200,200,200,Moist,188410027,116913296
0,0,0,200,200,200,Moist,188410028,116913297
0,0,0,46,61,76,Dry,188410029,116913298
46,61,76,200,200,200,Moist,188410029,116913299
0,0,0,200,200,200,Moist,188410030,116913300
30,46,61,76,107,127,Wet,188410031,116913301
76,107,127,200,200,200,Moist,188410031,116913302
0,0,0,30,46,61,Moist,188410031,116913303
30,46,61,76,107,127,Wet,188410032,116913304
76,107,127,200,200,200,Moist,188410032,116913305
0,0,0,30,46,61,Moist,188410032,116913306
30,46,61,76,107,127,Wet,188410033,116913307
76,107,127,200,200,200,Moist,188410033,116913308
0,0,0,30,46,61,Moist,188410033,116913309
89,137,190,200,200,200,Moist,188410034,116913310
0,15,30,89,137,190,Wet,188410034,116913311
0,15,30,89,137,190,Wet,188410035,116913312
89,137,190,200,200,200,Moist,188410035,116913313
0,15,30,89,137,190,Wet,188410036,116913314
89,137,190,200,200,200,Moist,188410036,116913315
0,15,30,89,137,190,Wet,188410037,116913316
89,137,190,200,200,200,Moist,188410037,116913317
0,0,0,61,76,92,Moist,188410038,116913318
61,76,92,89,137,190,Wet,188410038,116913319
89,137,190,200,200,200,Moist,188410038,116913320
0,0,0,200,200,200,Moist,188410039,116913321
0,0,0,200,200,200,Moist,188410040,116913322
0,0,0,200,200,200,Moist,188410041,116913323
0,0,0,61,76,92,Moist,188410042,116913324
61,76,92,89,137,190,Wet,188410042,116913325
89,137,190,200,200,200,Moist,188410042,116913326
0,15,30,89,137,190,Wet,188410043,116913327
89,137,190,200,200,200,Moist,188410043,116913328
89,137,190,200,200,200,Moist,188410044,116913329
0,15,30,89,137,190,Wet,188410044,116913330
89,137,190,200,200,200,Moist,188410045,116913331
0,15,30,89,137,190,Wet,188410045,116913332
0,0,0,200,200,200,Moist,188410046,116913333
0,0,0,46,61,76,Moist,188410047,116913334
46,61,76,200,200,200,Wet,188410047,116913335
0,0,0,0,15,30,Moist,188410048,116913336
0,15,30,200,200,200,Wet,188410048,116913337
0,0,0,0,15,30,Moist,188410049,116913338
0,15,30,200,200,200,Wet,188410049,116913339
0,0,0,46,61,76,Moist,188410050,116913340
46,61,76,200,200,200,Wet,188410050,116913341
0,0,0,200,200,200,Moist,188410051,116913342
0,0,0,0,15,30,Moist,188410052,116913343
0,15,30,200,200,200,Wet,188410052,116913344
0,0,0,200,200,200,Moist,188410053,116913345
0,15,30,200,200,200,Wet,188410054,116913346
0,0,0,0,15,30,Moist,188410054,116913347
0,0,0,0,15,30,Moist,188410055,116913348
0,15,30,200,200,200,Wet,188410055,116913349
0,0,0,0,15,30,Moist,188410056,116913350
0,15,30,200,200,200,Wet,188410056,116913351
0,0,0,0,15,30,Moist,188410057,116913352
0,15,30,200,200,200,Wet,188410057,116913353
0,0,0,46,61,76,Moist,188410058,116913354
46,61,76,200,200,200,Wet,188410058,116913355
0,0,0,0,15,30,Moist,188410059,116913356
0,15,30,200,200,200,Wet,188410059,116913357
0,0,0,0,15,30,Moist,188410060,116913358
0,15,30,200,200,200,Wet,188410060,116913359
0,0,0,46,61,76,Moist,188410061,116913360
46,61,76,200,200,200,Wet,188410061,116913361
0,0,0,200,200,200,Moist,188410062,116913362
0,15,30,200,200,200,Wet,188410063,116913363
0,0,0,0,15,30,Moist,188410063,116913364
0,0,0,200,200,200,Moist,188410064,116913365
0,15,30,200,200,200,Wet,188410065,116913366
0,0,0,0,15,30,Moist,188410065,116913367
0,0,0,0,15,30,Moist,188410066,116913368
0,15,30,200,200,200,Wet,188410066,116913369
0,0,0,0,15,30,Moist,188410067,116913370
0,15,30,200,200,200,Wet,188410067,116913371
0,0,0,0,15,30,Moist,188410068,116913372
0,15,30,200,200,200,Wet,188410068,116913373
0,0,0,200,200,200,Moist,188410069,116913374
30,46,61,200,200,200,Moist,188410070,116913375
0,0,0,30,46,61,Dry,188410070,116913376
30,46,61,200,200,200,Moist,188410071,116913377
0,0,0,30,46,61,Dry,188410071,116913378
0,0,0,200,200,200,Moist,188410072,116913379
0,0,0,15,22,30,Moist,188410073,116913380
71,102,137,200,200,200,Moist,188410073,116913381
15,22,30,71,102,137,Wet,188410073,116913382
71,102,137,200,200,200,Moist,188410074,116913383
15,22,30,71,102,137,Wet,188410074,116913384
0,0,0,15,22,30,Moist,188410074,116913385
0,0,0,15,22,30,Moist,188410075,116913386
71,102,137,200,200,200,Moist,188410075,116913387
15,22,30,71,102,137,Wet,188410075,116913388
0,0,0,15,22,30,Moist,188410076,116913389
71,102,137,200,200,200,Moist,188410076,116913390
15,22,30,71,102,137,Wet,188410076,116913391
0,0,0,200,200,200,Moist,188410077,116913392
0,0,0,15,22,30,Moist,188410078,116913393
71,102,137,200,200,200,Moist,188410078,116913394
15,22,30,71,102,137,Wet,188410078,116913395
0,0,0,15,22,30,Moist,188410079,116913396
71,102,137,200,200,200,Moist,188410079,116913397
15,22,30,71,102,137,Wet,188410079,116913398
0,0,0,15,22,30,Moist,188410080,116913399
71,102,137,200,200,200,Moist,188410080,116913400
15,22,30,71,102,137,Wet,188410080,116913401
0,0,0,200,200,200,Moist,188410081,116913402
0,0,0,200,200,200,Moist,188410082,116913403
0,0,0,46,61,76,Dry,188410083,116913404
46,61,76,200,200,200,Moist,188410083,116913405
0,0,0,200,200,200,Moist,188410084,116913406
0,0,0,30,46,61,Moist,188410085,116913407
30,46,61,76,107,127,Wet,188410085,116913408
76,107,127,200,200,200,Moist,188410085,116913409
30,46,61,76,107,127,Wet,188410086,116913410
76,107,127,200,200,200,Moist,188410086,116913411
0,0,0,30,46,61,Moist,188410086,116913412
0,0,0,30,46,61,Moist,188410087,116913413
30,46,61,76,107,127,Wet,188410087,116913414
76,107,127,200,200,200,Moist,188410087,116913415
76,107,127,200,200,200,Moist,188410088,116913416
0,0,0,30,46,61,Moist,188410088,116913417
30,46,61,76,107,127,Wet,188410088,116913418
0,0,0,46,61,76,Dry,188410089,116913419
46,61,76,200,200,200,Moist,188410089,116913420
0,0,0,200,200,200,Moist,188410090,116913421
76,107,127,200,200,200,Moist,188410091,116913422
0,0,0,30,46,61,Moist,188410091,116913423
30,46,61,76,107,127,Wet,188410091,116913424
30,46,61,76,107,127,Wet,188410092,116913425
76,107,127,200,200,200,Moist,188410092,116913426
0,0,0,30,46,61,Moist,188410092,116913427
0,0,0,200,200,200,Moist,188410093,116913428
0,0,0,200,200,200,Moist,188410130,116913481
0,0,0,200,200,200,Moist,188410131,116913482
0,15,30,89,137,190,Wet,188410132,116913483
89,137,190,200,200,200,Moist,188410132,116913484
0,15,30,89,137,190,Wet,188410133,116913485
89,137,190,200,200,200,Moist,188410133,116913486
0,0,0,61,76,92,Moist,188410134,116913487
61,76,92,89,137,190,Wet,188410134,116913488
89,137,190,200,200,200,Moist,188410134,116913489
0,15,30,89,137,190,Wet,188410135,116913490
89,137,190,200,200,200,Moist,188410135,116913491
0,0,0,61,76,92,Moist,188410136,116913492
61,76,92,89,137,190,Wet,188410136,116913493
89,137,190,200,200,200,Moist,188410136,116913494
0,0,0,200,200,200,Moist,188410137,116913495
0,15,30,89,137,190,Wet,188410138,116913496
89,137,190,200,200,200,Moist,188410138,116913497
0,15,30,89,137,190,Wet,188410139,116913498
89,137,190,200,200,200,Moist,188410139,116913499
0,15,30,89,137,190,Wet,188410140,116913500
89,137,190,200,200,200,Moist,188410140,116913501
0,15,30,89,137,190,Wet,188410141,116913502
89,137,190,200,200,200,Moist,188410141,116913503
0,15,30,89,137,190,Wet,188410166,116913558
89,137,190,200,200,200,Moist,188410166,116913559
0,15,30,89,137,190,Wet,188410167,116913560
89,137,190,200,200,200,Moist,188410167,116913561
0,0,0,61,76,92,Moist,188410168,116913562
61,76,92,89,137,190,Wet,188410168,116913563
89,137,190,200,200,200,Moist,188410168,116913564
0,15,30,89,137,190,Wet,188410169,116913565
89,137,190,200,200,200,Moist,188410169,116913566
0,0,0,61,76,92,Moist,188410170,116913567
61,76,92,89,137,190,Wet,188410170,116913568
89,137,190,200,200,200,Moist,188410170,116913569
0,0,0,200,200,200,Moist,188410171,116913570
0,15,30,89,137,190,Wet,188410172,116913571
89,137,190,200,200,200,Moist,188410172,116913572
89,137,190,200,200,200,Moist,188410173,116913573
0,15,30,89,137,190,Wet,188410173,116913574
0,15,30,89,137,190,Wet,188410174,116913575
89,137,190,200,200,200,Moist,188410174,116913576
0,15,30,89,137,190,Wet,188410175,116913577
89,137,190,200,200,200,Moist,188410175,116913578
0,0,0,200,200,200,Moist,188410176,116913579
0,0,0,200,200,200,Moist,188410177,116913580
0,15,30,200,200,200,Wet,188410178,116913581
0,0,0,0,15,30,Moist,188410178,116913582
0,0,0,200,200,200,Moist,188410179,116913583
0,15,30,200,200,200,Wet,188410180,116913584
0,0,0,0,15,30,Moist,188410180,116913585
0,0,0,0,15,30,Moist,188410181,116913586
0,15,30,200,200,200,Wet,188410181,116913587
0,0,0,0,15,30,Moist,188410182,116913588
0,15,30,200,200,200,Wet,188410182,116913589
0,0,0,0,15,30,Moist,188410183,116913590
0,15,30,200,200,200,Wet,188410183,116913591
0,0,0,200,200,200,Moist,188410184,116913592
0,0,0,46,61,76,Moist,188410185,116913593
46,61,76,200,200,200,Wet,188410185,116913594
0,0,0,0,15,30,Moist,188410186,116913595
0,15,30,200,200,200,Wet,188410186,116913596
0,0,0,0,15,30,Moist,188410187,116913597
0,15,30,200,200,200,Wet,188410187,116913598
0,0,0,46,61,76,Moist,188410188,116913599
46,61,76,200,200,200,Wet,188410188,116913600
0,0,0,200,200,200,Moist,188410189,116913601
0,0,0,200,200,200,Moist,188410190,116913602
0,0,0,46,61,76,Dry,188410191,116913603
46,61,76,200,200,200,Moist,188410191,116913604
0,0,0,200,200,200,Moist,188410192,116913605
0,0,0,30,46,61,Moist,188410193,116913606
30,46,61,76,107,127,Wet,188410193,116913607
76,107,127,200,200,200,Moist,188410193,116913608
0,0,0,30,46,61,Moist,188410194,116913609
30,46,61,76,107,127,Wet,188410194,116913610
76,107,127,200,200,200,Moist,188410194,116913611
0,0,0,30,46,61,Moist,188410195,116913612
30,46,61,76,107,127,Wet,188410195,116913613
76,107,127,200,200,200,Moist,188410195,116913614
0,0,0,30,46,61,Moist,188410196,116913615
30,46,61,76,107,127,Wet,188410196,116913616
76,107,127,200,200,200,Moist,188410196,116913617
0,0,0,46,61,76,Dry,188410197,116913618
46,61,76,200,200,200,Moist,188410197,116913619
0,0,0,200,200,200,Moist,188410198,116913620
0,0,0,30,46,61,Moist,188410199,116913621
30,46,61,76,107,127,Wet,188410199,116913622
76,107,127,200,200,200,Moist,188410199,116913623
0,0,0,30,46,61,Moist,188410200,116913624
30,46,61,76,107,127,Wet,188410200,116913625
76,107,127,200,200,200,Moist,188410200,116913626
0,0,0,200,200,200,Moist,188410201,116913627
0,0,0,200,200,200,Moist,188410202,116913628
30,46,61,200,200,200,Moist,188410203,116913629
0,0,0,30,46,61,Dry,188410203,116913630
30,46,61,200,200,200,Moist,188410204,116913631
0,0,0,30,46,61,Dry,188410204,116913632
0,0,0,200,200,200,Moist,188410205,116913633
0,0,0,15,22,30,Moist,188410206,116913634
15,22,30,71,102,137,Wet,188410206,116913635
71,102,137,200,200,200,Moist,188410206,116913636
71,102,137,200,200,200,Moist,188410207,116913637
0,0,0,15,22,30,Moist,188410207,116913638
15,22,30,71,102,137,Wet,188410207,116913639
0,0,0,15,22,30,Moist,188410208,116913640
15,22,30,71,102,137,Wet,188410208,116913641
71,102,137,200,200,200,Moist,188410208,116913642
0,0,0,15,22,30,Moist,188410209,116913643
15,22,30,71,102,137,Wet,188410209,116913644
71,102,137,200,200,200,Moist,188410209,116913645
0,0,0,200,200,200,Moist,188410210,116913646
0,0,0,15,22,30,Moist,188410211,116913647
15,22,30,71,102,137,Wet,188410211,116913648
71,102,137,200,200,200,Moist,188410211,116913649
15,22,30,71,102,137,Wet,188410212,116913650
71,102,137,200,200,200,Moist,188410212,116913651
0,0,0,15,22,30,Moist,188410212,116913652
0,0,0,15,22,30,Moist,188410213,116913653
15,22,30,71,102,137,Wet,188410213,116913654
71,102,137,200,200,200,Moist,188410213,116913655
